,"European Union Emissions Trading System (from 2019, download)",,,,, 
Date,Exchange rate EUR/EUR,Exchange rate EUR/USD,Market Currency,Primary Market,Secondary Market, 
2019-01-07,1,1.141640909,EUR,23.01,22.39, 
2019-01-08,1,1.141640909,EUR,22.4,, 
2019-01-10,1,1.141640909,EUR,21.4,, 
2019-01-14,1,1.141640909,EUR,21.95,23.42, 
2019-01-15,1,1.141640909,EUR,22.55,, 
2019-01-16,1,1.141640909,EUR,22.81,, 
2019-01-17,1,1.141640909,EUR,23.55,, 
2019-01-21,1,1.141640909,EUR,24.22,24.48, 
2019-01-22,1,1.141640909,EUR,24.42,, 
2019-01-24,1,1.141640909,EUR,24.6,, 
2019-01-28,1,1.141640909,EUR,23.01,22.7, 
2019-01-29,1,1.141640909,EUR,22.43,, 
2019-01-30,1,1.141640909,EUR,22.91,, 
2019-01-31,1,1.141640909,EUR,22.3,, 
2019-02-01,1,1.135115,EUR,21.38,, 
2019-02-04,1,1.135115,EUR,21.38,23.16, 
2019-02-05,1,1.135115,EUR,22.93,, 
2019-02-07,1,1.135115,EUR,23.8,, 
2019-02-08,1,1.135115,EUR,23.28,, 
2019-02-11,1,1.135115,EUR,21.8,20.85, 
2019-02-12,1,1.135115,EUR,21.71,, 
2019-02-13,1,1.135115,EUR,20.01,, 
2019-02-14,1,1.135115,EUR,20.86,, 
2019-02-15,1,1.135115,EUR,19.99,, 
2019-02-18,1,1.135115,EUR,20.14,19.69, 
2019-02-19,1,1.135115,EUR,20.26,, 
2019-02-21,1,1.135115,EUR,19.85,, 
2019-02-22,1,1.135115,EUR,18.35,, 
2019-02-25,1,1.135115,EUR,18.62,20.83, 
2019-02-26,1,1.135115,EUR,19.6,, 
2019-02-27,1,1.135115,EUR,20.31,, 
2019-02-28,1,1.135115,EUR,20.9,, 
2019-03-01,1,1.130247619,EUR,21.31,, 
2019-03-04,1,1.130247619,EUR,22.12,22.9, 
2019-03-05,1,1.130247619,EUR,22.86,, 
2019-03-07,1,1.130247619,EUR,22.03,, 
2019-03-08,1,1.130247619,EUR,22.88,, 
2019-03-11,1,1.130247619,EUR,22.6,22.42, 
2019-03-12,1,1.130247619,EUR,22.48,, 
2019-03-13,1,1.130247619,EUR,21.98,, 
2019-03-14,1,1.130247619,EUR,22.23,, 
2019-03-15,1,1.130247619,EUR,22.77,, 
2019-03-18,1,1.130247619,EUR,21.5,21.24, 
2019-03-19,1,1.130247619,EUR,21.35,, 
2019-03-21,1,1.130247619,EUR,21.1,, 
2019-03-22,1,1.130247619,EUR,20.64,, 
2019-03-25,1,1.130247619,EUR,20.6,21.63, 
2019-03-26,1,1.130247619,EUR,21.17,, 
2019-03-27,1,1.130247619,EUR,21.45,, 
2019-03-28,1,1.130247619,EUR,21.55,, 
2019-03-29,1,1.130247619,EUR,21.83,, 
2019-04-01,1,1.123825,EUR,21.06,23.22, 
2019-04-02,1,1.123825,EUR,21.4,, 
2019-04-04,1,1.123825,EUR,23.65,, 
2019-04-05,1,1.123825,EUR,24.17,, 
2019-04-08,1,1.123825,EUR,24.07,25.97, 
2019-04-09,1,1.123825,EUR,25.2,, 
2019-04-10,1,1.123825,EUR,26.21,, 
2019-04-11,1,1.123825,EUR,25.88,, 
2019-04-12,1,1.123825,EUR,26.72,, 
2019-04-15,1,1.123825,EUR,27,27.04, 
2019-04-16,1,1.123825,EUR,26.8,, 
2019-04-18,1,1.123825,EUR,26.92,, 
2019-04-22,1,1.123825,EUR,,26.99, 
2019-04-23,1,1.123825,EUR,27.17,, 
2019-04-24,1,1.123825,EUR,27.02,, 
2019-04-25,1,1.123825,EUR,27.46,, 
2019-04-26,1,1.123825,EUR,26.79,, 
2019-04-29,1,1.123825,EUR,25.81,25.67, 
2019-04-30,1,1.123825,EUR,25.85,, 
2019-05-02,1,1.118459091,EUR,25.04,, 
2019-05-03,1,1.118459091,EUR,24.32,, 
2019-05-06,1,1.118459091,EUR,,26.15, 
2019-05-07,1,1.118459091,EUR,25.65,, 
2019-05-08,1,1.118459091,EUR,26.5,, 
2019-05-09,1,1.118459091,EUR,26.81,, 
2019-05-10,1,1.118459091,EUR,26.35,, 
2019-05-13,1,1.118459091,EUR,25.25,25.49, 
