date,primary_market,secondary_market,price
2010-01-04,,,12.67
2010-01-05,12.67,,12.67
2010-01-06,,,12.67
2010-01-07,,,12.67
2010-01-08,,,12.67
2010-01-11,,,12.67
2010-01-12,12.71,,12.71
2010-01-13,,,12.71
2010-01-14,,,12.71
2010-01-15,,,12.71
2010-01-18,,,12.71
2010-01-19,13.43,,13.43
2010-01-20,,,13.43
2010-01-21,,,13.43
2010-01-22,,,13.43
2010-01-25,,,13.43
2010-01-26,13.27,,13.27
2010-01-27,,,13.27
2010-01-28,,,13.27
2010-01-29,,,13.27
2010-02-01,,,13.27
2010-02-02,12.46,,12.46
2010-02-03,,,12.46
2010-02-04,,,12.46
2010-02-05,,,12.46
2010-02-08,,,12.46
2010-02-09,13.47,,13.47
2010-02-10,,,13.47
2010-02-11,,,13.47
2010-02-12,,,13.47
2010-02-15,,,13.47
2010-02-16,13.0,,13.0
2010-02-17,,,13.0
2010-02-18,,,13.0
2010-02-19,,,13.0
2010-02-22,,,13.0
2010-02-23,12.62,,12.62
2010-02-24,,,12.62
2010-02-25,,,12.62
2010-02-26,,,12.62
2010-03-01,,,12.62
2010-03-02,13.08,,13.08
2010-03-03,,,13.08
2010-03-04,,,13.08
2010-03-05,,,13.08
2010-03-08,,,13.08
2010-03-09,12.94,,12.94
2010-03-10,,,12.94
2010-03-11,,,12.94
2010-03-12,,,12.94
2010-03-15,,,12.94
2010-03-16,12.88,,12.88
2010-03-17,,,12.88
2010-03-18,,,12.88
2010-03-19,,,12.88
2010-03-22,,,12.88
2010-03-23,12.9,,12.9
2010-03-24,,,12.9
2010-03-25,,,12.9
2010-03-26,,,12.9
2010-03-29,,,12.9
2010-03-30,12.49,,12.49
2010-03-31,,,12.49
2010-04-01,,,12.49
2010-04-06,12.98,,12.98
2010-04-07,,,12.98
2010-04-08,,,12.98
2010-04-09,,,12.98
2010-04-12,,,12.98
2010-04-13,13.39,,13.39
2010-04-14,,,13.39
2010-04-15,,,13.39
2010-04-16,,,13.39
2010-04-19,,,13.39
2010-04-20,14.59,,14.59
2010-04-21,,,14.59
2010-04-22,,,14.59
2010-04-23,,,14.59
2010-04-26,,,14.59
2010-04-27,15.3,,15.3
2010-04-28,,,15.3
2010-04-29,,,15.3
2010-04-30,,,15.3
2010-05-03,,,15.3
2010-05-04,15.91,,15.91
2010-05-05,,,15.91
2010-05-06,,,15.91
2010-05-07,,,15.91
2010-05-10,,,15.91
2010-05-11,14.98,,14.98
2010-05-12,,,14.98
2010-05-14,,,14.98
2010-05-17,,,14.98
2010-05-18,15.07,,15.07
2010-05-19,,,15.07
2010-05-20,,,15.07
2010-05-21,,,15.07
2010-05-25,14.72,,14.72
2010-05-26,,,14.72
2010-05-27,,,14.72
2010-05-28,,,14.72
2010-05-31,,,14.72
2010-06-01,14.74,,14.74
2010-06-02,,,14.74
2010-06-03,,,14.74
2010-06-04,,,14.74
2010-06-07,,,14.74
2010-06-08,15.12,,15.12
2010-06-09,,,15.12
2010-06-10,,,15.12
2010-06-11,,,15.12
2010-06-14,,,15.12
2010-06-15,15.81,,15.81
2010-06-16,,,15.81
2010-06-17,,,15.81
2010-06-18,,,15.81
2010-06-21,,,15.81
2010-06-22,15.48,,15.48
2010-06-23,,,15.48
2010-06-24,,,15.48
2010-06-25,,,15.48
2010-06-28,,,15.48
2010-06-29,15.18,,15.18
2010-06-30,,,15.18
2010-07-01,,,15.18
2010-07-02,,,15.18
2010-07-05,,,15.18
2010-07-06,15.2,,15.2
2010-07-07,,,15.2
2010-07-08,,,15.2
2010-07-09,,,15.2
2010-07-12,,,15.2
2010-07-13,13.85,,13.85
2010-07-14,,,13.85
2010-07-15,,,13.85
2010-07-16,,,13.85
2010-07-19,,,13.85
2010-07-20,14.3,,14.3
2010-07-21,,,14.3
2010-07-22,,,14.3
2010-07-23,,,14.3
2010-07-26,,,14.3
2010-07-27,13.34,,13.34
2010-07-28,,,13.34
2010-07-29,,,13.34
2010-07-30,,,13.34
2010-08-02,,,13.34
2010-08-03,14.26,,14.26
2010-08-04,,,14.26
2010-08-05,,,14.26
2010-08-06,,,14.26
2010-08-09,,,14.26
2010-08-10,14.32,,14.32
2010-08-11,,,14.32
2010-08-12,,,14.32
2010-08-13,,,14.32
2010-08-16,,,14.32
2010-08-17,14.3,,14.3
2010-08-18,,,14.3
2010-08-19,,,14.3
2010-08-20,,,14.3
2010-08-23,,,14.3
2010-08-24,14.66,,14.66
2010-08-25,,,14.66
2010-08-26,,,14.66
2010-08-27,,,14.66
2010-08-30,,,14.66
2010-08-31,15.26,,15.26
2010-09-01,,,15.26
2010-09-02,,,15.26
2010-09-03,,,15.26
2010-09-06,,,15.26
2010-09-07,15.53,,15.53
2010-09-08,,,15.53
2010-09-09,,,15.53
2010-09-10,,,15.53
2010-09-13,,,15.53
2010-09-14,15.04,,15.04
2010-09-15,,,15.04
2010-09-16,,,15.04
2010-09-17,,,15.04
2010-09-20,,,15.04
2010-09-21,14.77,,14.77
2010-09-22,,,14.77
2010-09-23,,,14.77
2010-09-24,,,14.77
2010-09-27,,,14.77
2010-09-28,15.21,,15.21
2010-09-29,,,15.21
2010-09-30,,,15.21
2010-10-01,,,15.21
2010-10-04,,,15.21
2010-10-05,15.27,,15.27
2010-10-06,,,15.27
2010-10-07,,,15.27
2010-10-08,,,15.27
2010-10-11,,,15.27
2010-10-12,15.61,,15.61
2010-10-13,,,15.61
2010-10-14,,,15.61
2010-10-15,,,15.61
2010-10-18,,,15.61
2010-10-19,15.24,,15.24
2010-10-20,,,15.24
2010-10-21,,,15.24
2010-10-22,,,15.24
2010-10-25,,,15.24
2010-10-26,15.01,,15.01
2010-10-27,,,15.01
2010-10-28,,,15.01
2010-10-29,,,15.01
2010-11-01,,,15.01
2010-11-02,14.62,,14.62
2010-11-03,,,14.62
2010-11-04,,,14.62
2010-11-05,,,14.62
2010-11-08,,,14.62
2010-11-09,14.15,,14.15
2010-11-10,,,14.15
2010-11-11,,,14.15
2010-11-12,,,14.15
2010-11-15,,,14.15
2010-11-16,14.89,,14.89
2010-11-17,,,14.89
2010-11-18,,,14.89
2010-11-19,,,14.89
2010-11-22,,,14.89
2010-11-23,14.83,,14.83
2010-11-24,,,14.83
2010-11-25,,,14.83
2010-11-26,,,14.83
2010-11-29,,,14.83
2010-11-30,14.66,,14.66
2010-12-01,,,14.66
2010-12-02,,,14.66
2010-12-03,,,14.66
2010-12-06,,,14.66
2010-12-07,,,14.66
2010-12-08,,,14.66
2010-12-09,,,14.66
2010-12-10,,,14.66
2010-12-13,,,14.66
2010-12-14,,,14.66
2010-12-15,,,14.66
2010-12-16,,,14.66
2010-12-17,,,14.66
2010-12-20,,,14.66
2010-12-21,,,14.66
2010-12-22,,,14.66
2010-12-23,,,14.66
2010-12-27,,,14.66
2010-12-28,,,14.66
2010-12-29,,,14.66
2010-12-30,,,14.66
2011-01-03,,,14.66
2011-01-04,13.97,,13.97
2011-01-05,,,13.97
2011-01-06,,,13.97
2011-01-07,,,13.97
2011-01-10,,,13.97
2011-01-11,13.95,,13.95
2011-01-12,,,13.95
2011-01-13,,,13.95
2011-01-14,,,13.95
2011-01-17,,,13.95
2011-01-18,14.34,,14.34
2011-01-19,,,14.34
2011-01-20,,,14.34
2011-01-21,,,14.34
2011-01-24,,,14.34
2011-01-25,14.29,,14.29
2011-01-26,,,14.29
2011-01-27,,,14.29
2011-01-28,,,14.29
2011-01-31,,,14.29
2011-02-01,,,14.29
2011-02-02,,,14.29
2011-02-03,,,14.29
2011-02-04,,,14.29
2011-02-07,,,14.29
